,JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
903,Data Scientist,Male,37,1,PhD,Administration,2,78836,3588
904,Driver,Male,64,2,Masters,Operations,2,112719,3382
905,Marketing Associate,Female,59,1,Masters,Sales,3,93018,2730
906,Marketing Associate,Female,55,2,College,Sales,2,69928,4811
907,Software Engineer,Female,57,2,High School,Engineering,1,104623,3791
908,Driver,Male,55,2,College,Administration,2,103328,4543
909,Financial Analyst,Male,47,2,High School,Management,1,68643,4674
910,Graphic Designer,Female,33,1,High School,Sales,1,63914,3521
911,Sales Associate,Male,45,2,High School,Engineering,1,67296,4780
912,Graphic Designer,Female,44,1,College,Sales,3,90474,3530
913,Driver,Female,22,1,High School,Administration,1,60026,4605
914,Marketing Associate,Female,41,1,PhD,Management,5,108587,4275
915,Financial Analyst,Female,61,1,Masters,Engineering,4,139042,2982
916,Driver,Male,65,1,High School,Operations,5,116803,3431
917,Sales Associate,Female,57,1,Masters,Operations,3,101423,3641
918,Software Engineer,Male,36,1,Masters,Operations,1,86375,3368
919,IT,Male,31,1,College,Operations,1,49449,4149
920,Marketing Associate,Female,56,2,High School,Sales,3,95995,4045
921,Software Engineer,Male,51,1,College,Management,2,118282,3599
922,IT,Female,47,1,PhD,Operations,3,99472,3943
923,Manager,Female,55,1,High School,Administration,3,135638,2824
924,IT,Male,50,1,College,Operations,3,85648,2728
925,Data Scientist,Female,58,1,PhD,Management,4,121457,4723
926,Data Scientist,Female,57,1,PhD,Operations,2,114141,3746
927,Manager,Male,58,1,PhD,Management,4,179726,4284
928,Marketing Associate,Female,64,1,College,Administration,5,107572,3107
929,Sales Associate,Female,65,2,PhD,Sales,5,142505,4214
930,Financial Analyst,Male,43,1,PhD,Sales,4,108719,4143
931,IT,Male,36,1,High School,Sales,4,109832,3528
932,Software Engineer,Male,60,1,PhD,Administration,4,127250,4263
933,Sales Associate,Female,50,1,Masters,Sales,3,106279,3892
934,Software Engineer,Male,37,1,High School,Sales,1,81547,3510
935,Data Scientist,Male,56,1,Masters,Administration,2,95798,2530
936,Manager,Female,47,1,High School,Management,3,106916,3959
937,Manager,Male,59,2,PhD,Administration,1,124782,4618
938,Warehouse Associate,Male,53,1,College,Operations,4,126256,3463
939,IT,Female,59,1,PhD,Engineering,3,92257,3908
940,Software Engineer,Male,62,1,High School,Sales,3,124660,2200
941,IT,Female,32,2,High School,Engineering,1,59377,5236
942,Marketing Associate,Female,38,1,PhD,Engineering,2,76726,4204
943,IT,Female,54,1,High School,Engineering,5,112502,3988
944,Data Scientist,Male,65,2,Masters,Sales,2,128730,3247
945,Manager,Male,61,2,College,Sales,1,136836,4070
946,IT,Male,51,1,High School,Engineering,3,89272,2600
947,Financial Analyst,Female,62,1,High School,Operations,3,101515,2251
948,Software Engineer,Male,36,1,Masters,Operations,1,93855,4099
949,Graphic Designer,Male,30,1,College,Operations,2,36642,4388
950,Sales Associate,Male,60,1,College,Operations,3,112604,3366
951,Financial Analyst,Female,49,1,PhD,Engineering,1,67089,3078
952,Driver,Female,51,1,PhD,Management,2,97789,3536
953,Data Scientist,Male,62,1,PhD,Administration,3,123333,3353
954,IT,Male,62,1,PhD,Management,2,105771,2978
955,Marketing Associate,Female,46,1,College,Administration,1,54945,2991
956,Data Scientist,Female,65,1,PhD,Operations,2,121239,3078
957,Data Scientist,Female,64,2,High School,Sales,1,87314,3688
958,Driver,Female,65,1,PhD,Operations,3,124530,3647
959,Driver,Female,45,1,College,Sales,2,67150,3255
960,Financial Analyst,Male,39,1,College,Engineering,4,99643,3789
961,Sales Associate,Male,54,1,College,Administration,3,92468,3242
962,Financial Analyst,Female,47,1,College,Operations,2,63300,3655
963,IT,Male,55,2,Masters,Operations,1,91447,3196
964,Marketing Associate,Female,58,2,High School,Operations,1,60271,3927
965,Warehouse Associate,Male,34,1,Masters,Operations,1,45915,4765
966,Marketing Associate,Female,53,1,Masters,Operations,1,66028,3745
967,Sales Associate,Male,57,1,PhD,Administration,5,113031,3409
968,Software Engineer,Male,62,1,High School,Sales,3,132815,3367
969,Manager,Male,52,1,High School,Management,1,110078,1703
970,Data Scientist,Male,57,1,Masters,Sales,3,106918,3180
971,Software Engineer,Male,60,1,High School,Administration,3,106045,3079
972,Warehouse Associate,Male,65,1,High School,Operations,2,107479,2051
973,Software Engineer,Male,64,1,Masters,Sales,1,109606,2193
974,Marketing Associate,Female,44,1,High School,Engineering,3,91300,3680
975,Sales Associate,Male,56,1,High School,Management,1,88195,2375
976,Financial Analyst,Female,54,1,Masters,Operations,2,90999,2963
977,Sales Associate,Female,58,1,College,Operations,3,86795,3453
978,IT,Female,59,1,College,Sales,3,110627,2041
979,Marketing Associate,Female,52,1,PhD,Sales,3,97696,3888
980,IT,Male,64,1,Masters,Sales,1,92950,2125
981,Sales Associate,Male,56,1,High School,Operations,1,82164,2611
982,Software Engineer,Male,62,1,High School,Management,3,119069,2788
983,Marketing Associate,Female,59,1,College,Engineering,1,62738,2656
984,IT,Female,53,1,High School,Administration,2,112169,2763
985,Manager,Male,55,1,High School,Administration,1,120574,2683
986,Data Scientist,Male,54,1,College,Sales,2,97311,3083
987,Marketing Associate,Female,59,1,High School,Operations,3,98796,3042
988,Sales Associate,Male,62,1,Masters,Administration,2,102593,1823
989,Financial Analyst,Female,65,1,High School,Administration,2,96665,2645
990,Graphic Designer,Female,61,1,Masters,Engineering,1,91030,3318
991,IT,Female,65,1,Masters,Administration,1,106945,2041
992,Graphic Designer,Female,63,1,College,Administration,2,81545,3418
993,Marketing Associate,Female,65,1,Masters,Administration,1,80789,1884
994,Marketing Associate,Female,64,1,PhD,Administration,2,85253,2777
995,Marketing Associate,Female,61,1,High School,Administration,1,62644,3270
996,Data Scientist,Male,57,1,Masters,Sales,2,108977,3567
997,Financial Analyst,Male,48,1,High School,Operations,1,92347,2724
998,Financial Analyst,Male,65,2,High School,Administration,1,97376,2225
999,Financial Analyst,Male,60,1,PhD,Sales,2,123108,2244
